GEOID,Pop_1E,Pov_1E,PovU_1E,HU_1E,HUOcc_1E,HURent_1E,LEP_1E,Age65pl_1E,Dis_1E,NTVBorn_1E,FBorn_1E
36005000043,5221,636,5221,1732,1558,1320,787,738,351,3900,2735
36061000044,4173,1181,4173,1554,1398,1006,236,527,617,2187,2008
36005000045,2936,217,2936,1747,1572,1286,321,496,337,2318,1097
36085000046,6414,1362,6414,3699,3329,3273,258,1185,415,3287,3223
36085000047,5316,338,5316,3018,2716,2595,377,489,347,3479,2604
36061000048,2730,382,2730,1369,1232,673,261,567,352,2170,1230
36061000049,5284,405,5284,3039,2735,2654,606,529,342,2385,2672
36085000050,4571,1196,4571,2367,2130,1917,219,479,584,2570,2359
36085000051,2685,210,2685,1457,1311,995,338,311,348,1097,1104
36085000052,4642,1217,4642,2077,1869,1231,717,657,422,2691,1704
36047000053,7264,1311,7264,3970,3573,2128,802,1469,1041,5287,4035
36005000054,3232,387,3232,1476,1328,938,156,503,322,1838,1525
36061000055,1726,600,1726,971,873,631,252,152,258,789,818
36005000056,7684,2252,7684,4263,3836,1941,874,1458,618,4320,4421
36061000057,4656,1330,4656,1399,1259,855,494,857,266,2046,1874
36085000058,3645,419,3645,1916,1724,1546,243,646,458,2899,2080
36081000059,6441,997,6441,3483,3134,2865,668,518,573,4715,2919
36081000060,5373,1392,5373,2803,2522,1516,434,924,530,3262,1322
36081000061,6283,1827,6283,2353,2117,2007,460,1160,630,4753,2972
36061000062,2349,402,2349,983,884,673,336,492,351,1857,762
36005000063,2185,484,2185,1282,1153,1109,140,443,117,1418,754
36061000064,4272,759,4272,1964,1767,1506,643,612,246,1715,1289
36047000065,7387,480,7387,2891,2601,1524,875,1497,468,5045,2007
36081000066,4001,767,4001,2275,2047,1853,581,600,280,2824,1957
36085000067,5232,1299,5232,1990,1791,895,822,861,682,3353,1909
36085000068,3629,1151,3629,1918,1726,1094,363,457,365,2636,838
36081000069,3815,1077,3815,1363,1226,1119,571,616,326,2511,1959
36005000070,3222,562,3222,1629,1466,1337,443,590,339,1517,796
36085000071,4221,1337,4221,2045,1840,1368,230,464,290,2243,1898
36061000072,4104,752,4104,1761,1584,1534,579,357,327,2170,1895
36061000073,3178,727,3178,1850,1665,1048,148,713,255,1570,723
36081000074,3623,1076,3623,2012,1810,1513,419,745,495,2315,1387
36061000075,5203,321,5203,1979,1781,1082,529,1134,266,3004,1344
36085000076,2765,275,2765,887,798,705,387,317,368,1644,1385
36005000077,1673,395,1673,739,665,382,261,198,173,1117,542
36047000078,2088,381,2088,1169,1052,617,103,337,119,1245,803
36005000079,6877,2382,6877,3915,3523,2779,532,1602,878,3467,3773
36047000080,6523,1035,6523,2666,2399,2147,987,1040,421,3784,2007
36085000081,4292,1180,4292,2361,2124,1945,641,943,558,2363,1032
36085000082,7923,2393,7923,3602,3241,2140,912,1063,447,3433,2018
36047000083,5389,277,5389,1691,1521,1217,324,930,642,2510,1213
36005000084,2637,882,2637,1180,1062,959,352,500,267,1540,1232
36085000085,3306,249,3306,1038,934,626,143,391,277,1761,934
36085000086,6600,1499,6600,3167,2850,2130,973,840,433,2796,2155
36085000087,3902,843,3902,1735,1561,875,451,651,328,1667,1105
36047000088,3004,336,3004,980,882,395,388,261,221,1325,1314
36085000089,4852,1601,4852,2600,2340,1250,335,505,427,3350,1899
36081000090,6722,2097,6722,3286,2957,1468,909,561,902,4313,3159
36047000091,6999,1498,6999,2338,2104,1412,1038,949,411,4386,1516
36061000092,3000,484,3000,1317,1185,587,225,665,274,1915,1505
36047000093,1774,105,1774,824,741,387,257,314,160,867,571
36085000094,4730,973,4730,1615,1453,1233,278,843,649,2640,1645
36005000095,3149,787,3149,1007,906,762,232,397,307,1277,871
36085000096,7664,1797,7664,2987,2688,2386,661,1433,1068,5688,3149
36085000097,7050,1292,7050,2524,2271,1566,779,1553,910,5210,4088
36047000098,1459,300,1459,460,414,184,208,353,217,731,312
36061000099,3626,1039,3626,2013,1811,1597,378,501,340,2743,1664
36085000100,6154,412,6154,3220,2898,1840,315,706,848,2961,3259
36061000101,4175,583,4175,1369,1232,973,621,392,612,1968,1098
36047000102,4277,803,4277,1851,1665,819,418,1042,399,2425,1233
36047000103,4011,1044,4011,1258,1132,834,196,841,287,3078,1369
36061000104,4254,975,4254,1792,1612,724,359,410,362,2506,1022
36061000105,7318,2002,7318,3535,3181,2275,840,1592,631,4926,4251
36081000106,6885,1751,6885,3257,2931,1699,1088,913,756,4026,3892
36005000107,3228,1048,3228,1670,1503,1294,435,766,351,1709,1310
36085000108,2389,204,2389,823,740,665,160,322,139,1724,1195
36005000109,2146,655,2146,1154,1038,966,307,393,269,1458,974
36047000110,6911,1104,6911,2745,2470,1396,649,772,544,4786,2334
36047000111,6216,1333,6216,3392,3052,1752,849,683,359,2817,2520
36005000112,3363,649,3363,1044,939,451,249,331,308,2504,1998
36047000113,7587,1939,7587,4522,4069,2563,876,1290,441,4387,3410
36005000114,5834,1292,5834,2768,2491,1493,723,564,353,2554,3323
36081000115,7603,963,7603,4197,3777,3385,460,1768,740,4970,2281
36081000116,4458,1334,4458,1404,1263,1036,552,541,277,3499,2247
36061000117,6598,1159,6598,2503,2252,1363,923,1398,492,4590,2402
36047000118,4230,982,4230,2262,2035,1767,202,690,532,2819,1826
36061000119,7722,2332,7722,3876,3488,3191,1165,1924,1149,4262,2532
36081000120,3072,409,3072,1281,1152,1122,355,572,460,1467,861
36061000121,1951,572,1951,858,772,592,230,389,276,1034,576
36081000122,5096,1570,5096,2645,2380,1846,306,1248,638,3911,1750
36081000123,4127,464,4127,1242,1117,572,391,440,616,1855,970
36047000124,5207,1158,5207,1840,1656,1443,214,1103,615,3075,2801
36047000125,6102,1782,6102,3595,3235,2862,463,905,318,2460,1285
36047000126,1528,248,1528,875,787,564,205,139,219,761,559
36085000127,2461,516,2461,1042,937,772,358,591,223,1520,958
36081000128,6179,1706,6179,2515,2263,1607,684,1228,680,4472,3452
36047000129,3770,1281,3770,1364,1227,1201,213,830,295,2738,2059
36085000130,5128,419,5128,1850,1665,851,219,435,285,2171,2033
36047000131,6889,1974,6889,2091,1881,1740,461,1356,811,3389,2724
36081000132,5492,958,5492,2709,2438,1894,445,1246,394,2204,3083
36061000133,4829,452,4829,1506,1355,786,343,634,338,3370,1056
36005000134,2820,672,2820,1390,1251,743,252,348,172,1956,1268
36085000135,4469,633,4469,2056,1850,1561,221,925,665,2476,2586
36005000136,4403,872,4403,1728,1555,698,696,970,446,1811,2612
36081000137,3940,266,3940,1769,1592,1342,281,550,409,2536,837
36047000138,2437,147,2437,1000,900,685,280,318,317,1924,1131
36047000139,6824,963,6824,2488,2239,2228,1001,562,797,3264,2773
36081000140,7714,2136,7714,2329,2096,1803,1223,1670,680,5424,3961
36085000141,1290,333,1290,716,644,298,143,161,102,692,648
36085000142,6459,2234,6459,3822,3439,2643,885,668,540,3970,2284
36061000143,6712,855,6712,3472,3124,2195,933,1237,846,3985,2241
36081000144,1170,121,1170,446,401,232,95,163,86,760,579
36061000145,7699,587,7699,2617,2355,1337,555,813,1085,3238,3986
36047000146,6822,2327,6822,3716,3344,1833,619,1412,754,4035,2180
36005000147,4485,1460,4485,2342,2107,1877,197,1046,567,2836,1519
36081000148,7220,1193,7220,4021,3618,2377,466,1307,919,5556,2604
36005000149,6286,1473,6286,2479,2231,2221,523,1540,798,2769,1846
36061000150,6810,1826,6810,2519,2267,1276,672,1591,847,4423,2663
36061000151,6720,2190,6720,3712,3340,2140,980,905,823,3249,1957
36047000152,6389,1907,6389,2105,1894,1678,833,1589,476,2874,2082
36085000153,3291,708,3291,1905,1714,923,185,471,353,1896,1499
36061000154,1359,396,1359,789,710,359,125,202,149,814,349
36061000155,5174,1327,5174,2116,1904,1050,237,814,456,2876,1907
36085000156,3844,1335,3844,1962,1765,1420,308,721,241,1936,1104
36085000157,3521,524,3521,1508,1357,1073,536,522,269,2753,1661
36047000158,1752,523,1752,640,576,505,199,233,194,873,795
36061000159,5907,1465,5907,1835,1651,979,872,839,674,4633,2757
36085000160,2116,581,2116,1230,1107,744,252,314,301,1392,551
36081000161,7586,2330,7586,3179,2861,2092,685,1014,871,3412,1838
36047000162,1943,112,1943,884,795,355,272,369,186,1220,1057
36005000163,5110,327,5110,1906,1715,1096,661,1201,350,3880,2928
36005000164,2093,202,2093,1101,990,900,203,493,241,1409,905
36061000165,6350,706,6350,3202,2881,2713,312,1125,507,4839,2904
36005000166,2177,272,2177,1059,953,524,200,338,279,1305,479
36061000167,5088,748,5088,2619,2357,1932,590,666,587,3837,1894
36005000168,2174,527,2174,998,898,876,308,299,206,1395,749
36047000169,5535,1005,5535,2891,2601,1492,479,1228,730,2519,1390
36005000170,4850,1176,4850,2067,1860,866,630,719,715,1959,1688
36081000171,7020,2158,7020,3707,3336,1650,981,1184,447,4582,3073
36005000172,3468,511,3468,1896,1706,978,343,764,355,2687,923
36085000173,4950,1462,4950,1677,1509,1290,571,1053,360,3272,2058
36061000174,1422,351,1422,565,508,389,210,193,153,913,383
36005000175,3196,245,3196,1904,1713,1698,193,743,268,2244,1731
36081000176,1447,374,1447,748,673,318,138,147,172,815,812
36085000177,7199,1093,7199,3579,3221,1645,318,702,548,4280,2776
36005000178,2726,208,2726,1327,1194,1097,378,636,269,1245,785
36047000179,6178,447,6178,2258,2032,1604,825,758,775,4443,3505
36085000180,5043,388,5043,1784,1605,1565,804,854,620,3001,2591
36081000181,4630,1033,4630,2078,1870,1751,472,895,636,3155,2618
36085000182,7970,781,7970,2860,2574,1568,1121,1834,457,3740,1840
36085000183,5529,719,5529,2858,2572,2078,745,919,492,3996,2923
36085000184,7050,1010,7050,2329,2096,1573,682,622,854,2873,1479
36061000185,3398,873,3398,1055,949,544,543,569,302,1596,944
36047000186,2394,126,2394,827,744,681,110,535,124,1036,704
36061000187,2476,218,2476,797,717,415,125,254,273,1750,1131
36085000188,6672,1985,6672,3858,3472,2533,993,1094,389,3926,1925
36005000189,1444,282,1444,630,567,498,217,253,95,619,486
36047000190,3308,1127,3308,1978,1780,1110,510,737,392,2302,1857
36061000191,3117,577,3117,1675,1507,995,348,503,313,1611,1304
36047000192,4313,1465,4313,1514,1362,644,557,616,469,2771,2216
36005000193,6935,619,6935,4086,3677,2450,312,1305,396,4559,2923
36005000194,4321,1361,4321,2235,2011,1935,581,739,331,2769,2274
36047000195,3317,357,3317,1443,1298,671,413,540,465,1601,1441
36085000196,5401,1833,5401,2164,1947,1274,282,1000,533,3489,3009
36047000197,2707,373,2707,1411,1269,719,259,595,296,1853,1496
36085000198,5295,672,5295,3145,2830,2431,822,535,661,2761,2239
36061000199,6190,1486,6190,2253,2027,1866,896,1412,825,3757,1589
36081000200,6646,1957,6646,3661,3294,1565,648,1539,357,4557,1565
36085000201,6030,993,6030,3336,3002,2453,348,1406,527,4434,1436
36081000202,3556,897,3556,2052,1846,912,537,800,319,2207,1122
36081000203,3687,223,3687,1275,1147,633,359,710,465,2074,2035
36047000204,7842,2039,7842,2590,2331,1220,847,1374,953,4912,2641
36047000205,5785,1717,5785,3080,2772,1802,587,1430,648,2639,2320
36005000206,3016,997,3016,1337,1203,716,235,493,321,1756,1031
36085000207,7808,2112,7808,4582,4123,3664,692,841,1025,4416,2182
36061000208,1688,161,1688,997,897,622,72,383,207,1313,695
36005000209,1015,258,1015,360,324,225,143,186,137,727,287
36061000210,1013,203,1013,363,326,157,104,195,56,480,346
36085000211,5647,1091,5647,3020,2718,2583,743,916,725,3512,2944
36085000212,4912,548,4912,2028,1825,1163,416,1063,397,2762,2054
36061000213,2854,143,2854,1592,1432,1141,275,570,245,1587,680
36085000214,6178,368,6178,3287,2958,1399,832,1049,645,2499,1911
36005000215,5691,503,5691,2530,2277,2219,890,947,724,3275,2763
36085000216,1157,140,1157,567,510,302,114,268,98,761,580
36061000217,7815,2469,7815,3678,3310,2193,1062,1403,694,3491,4533
36005000218,5971,737,5971,1968,1771,1724,447,1017,860,3987,2720
36061000219,4310,1487,4310,2124,1911,938,286,577,451,2621,1699
36047000220,7533,2606,7533,2357,2121,1464,986,1087,599,4203,2945
36047000221,6072,1038,6072,2853,2567,1530,288,1273,389,4403,3347
36047000222,3011,910,3011,922,829,737,366,715,401,1945,1104
36081000223,4530,391,4530,1472,1324,737,270,443,516,1818,2190
36005000224,2152,168,2152,1271,1143,883,286,263,116,961,559
36061000225,5666,793,5666,3132,2818,2103,601,904,545,2352,2018
36047000226,3596,353,3596,1147,1032,903,293,433,436,2346,1219
36005000227,3630,1173,3630,1455,1309,867,380,468,467,1493,1399
36047000228,5529,829,5529,2315,2083,1829,617,1051,311,3519,1298
36005000229,5709,707,5709,2441,2196,1685,589,1366,663,3266,2912
36047000230,4413,721,4413,1357,1221,789,595,595,620,2847,2472
36081000231,7532,1773,7532,2697,2427,1504,339,1003,869,5859,2273
36085000232,4320,1225,4320,1985,1786,1367,618,363,268,1981,2220
36085000233,2950,589,2950,1709,1538,1256,320,677,366,2158,1733
36085000234,7192,1102,7192,2464,2217,1521,355,695,669,4206,1689
36081000235,3839,641,3839,1724,1551,1551,164,557,216,2672,923
36005000236,1930,113,1930,652,586,489,229,320,108,994,832
36061000237,6409,1454,6409,3436,3092,2991,451,624,517,3287,3274
36085000238,2688,445,2688,983,884,519,222,651,246,1395,556
36005000239,1197,380,1197,465,418,236,135,194,163,550,345
36061000240,4304,489,4304,2318,2086,1456,684,744,252,2759,1692
36081000241,7909,2357,7909,3156,2840,1375,1010,654,844,5179,1833
36005000242,6214,942,6214,3457,3111,1833,426,596,570,4588,1543
36047000243,1079,143,1079,331,297,216,118,196,90,467,318
36081000244,1188,314,1188,687,618,330,128,148,113,580,646
36005000245,6503,1334,6503,2957,2661,1985,354,765,507,4836,2447
36047000246,3818,1087,3818,1315,1183,939,307,354,515,1886,2138
36085000247,4481,906,4481,1675,1507,1322,497,651,611,2564,2232
36085000248,1103,283,1103,497,447,314,117,128,88,494,614
36047000249,3804,651,3804,1838,1654,1152,589,732,275,2892,2069
36061000250,6456,571,6456,3383,3044,2783,475,1018,527,4086,3107
36085000251,4516,1297,4516,1697,1527,1471,647,627,386,1905,2401
36061000252,7805,1037,7805,3034,2730,2209,1076,1084,852,5112,1596
36061000253,4503,1272,4503,2144,1929,1261,316,816,375,2684,2657
36081000254,6301,1857,6301,2955,2659,2304,784,1082,880,2711,3182
36005000255,3327,536,3327,1291,1161,656,188,796,235,1756,1655
36061000256,7250,2000,7250,2798,2518,2200,410,1077,710,4230,4219
36061000257,3077,182,3077,977,879,778,311,588,378,1943,1088
36081000258,7900,2018,7900,2752,2476,1293,673,1524,682,3313,2963
36081000259,2044,132,2044,884,795,760,320,230,133,1269,463
36047000260,5900,1576,5900,3218,2896,2269,569,878,511,4663,1203
36047000261,4424,836,4424,1932,1738,1396,635,753,451,2653,905
36081000262,3974,895,3974,1653,1487,1366,399,879,211,1612,1475
36085000263,7116,1933,7116,2457,2211,1992,936,679,623,5382,3477
36061000264,5075,915,5075,2509,2258,1101,690,948,690,3990,1622
36061000265,5056,1357,5056,2014,1812,1326,549,873,588,2517,1047
36047000266,2523,300,2523,1361,1224,561,342,544,152,1535,1059
36047000267,5469,1452,5469,1973,1775,1033,851,562,464,3124,2064
36081000268,7385,2479,7385,3697,3327,3108,799,1367,574,3637,2927
36061000269,5352,508,5352,2231,2007,1450,280,969,569,3131,3006
36047000270,5172,1595,5172,2540,2286,1211,626,562,313,2125,2698
36081000271,3094,590,3094,1292,1162,868,341,351,431,1310,1701
36061000272,7027,2037,7027,3321,2988,1724,968,1052,397,2862,1822
36081000273,1913,229,1913,655,589,406,147,245,210,778,1060
36005000274,1244,266,1244,557,501,364,53,157,82,963,553
36061000275,5332,892,5332,1628,1465,1448,691,1304,787,2278,1310
36085000276,3913,810,3913,1575,1417,1200,492,904,345,1913,1655
36085000277,7149,905,7149,2808,2527,1193,1021,1363,799,3787,2021
36081000278,5842,1051,5842,2797,2517,1607,329,1173,320,2665,2538
36085000279,5230,803,5230,2011,1809,1238,500,1182,338,4152,1438
36047000280,6780,460,6780,3708,3337,2272,281,945,829,3577,3626
36085000281,6812,379,6812,4011,3609,3076,842,857,582,3232,2010
36061000282,5502,795,5502,2837,2553,1524,552,898,776,2878,2508
36061000283,3795,1231,3795,1796,1616,1126,550,899,512,2623,2070
36047000284,3164,527,3164,1751,1575,1405,313,546,467,1571,1478
36005000285,2619,792,2619,1035,931,582,317,503,345,1090,566
36005000286,5998,1239,5998,2292,2062,1995,435,1378,387,3689,2079
36005000287,2474,723,2474,1433,1289,921,271,392,252,1510,833
36081000288,5278,1652,5278,1989,1790,963,300,975,547,2168,1790
36047000289,3944,707,3944,1318,1186,582,254,790,233,2454,828
36081000290,7875,1784,7875,2593,2333,1163,882,889,1073,4581,2519
36085000291,6696,701,6696,3802,3421,2652,884,1077,690,4437,3020
36061000292,5260,856,5260,2820,2538,1388,481,735,437,2319,2974
36047000293,4106,1182,4106,1615,1453,1166,349,425,214,2642,929
36005000294,3533,553,3533,1992,1792,1228,361,663,294,2604,1108
36005000295,4359,752,4359,1674,1506,1403,211,858,336,2485,1252
36081000296,2073,465,2073,1017,915,593,208,183,242,1184,482
36005000297,2551,379,2551,1005,904,423,304,496,377,1912,1062
36061000298,7604,457,7604,3990,3591,2875,1140,1812,823,5890,1985
36005000299,3569,474,3569,1526,1373,635,358,321,372,1899,1287
36005000300,5032,1166,5032,2385,2146,1672,239,1030,417,2496,2646
36005000301,6028,649,6028,2698,2428,1173,905,788,640,4529,1723
36085000302,1601,327,1601,903,812,757,197,220,225,950,911
36061000303,2831,714,2831,868,781,686,350,468,325,1882,675
36061000304,2146,620,2146,1021,918,512,304,357,222,996,500
36005000305,5808,418,5808,2949,2654,2155,804,673,624,3573,1618
36005000306,6957,1139,6957,2674,2406,2388,720,1366,943,4896,1523
36005000307,4247,1461,4247,1854,1668,905,300,907,414,2395,2474
36085000308,6331,628,6331,2394,2154,1249,931,1515,471,4965,2717
36005000309,2416,697,2416,856,770,358,237,344,132,1829,837
36085000310,6918,1662,6918,3002,2701,1392,331,666,801,3901,2521
36085000311,2130,683,2130,651,585,558,288,479,268,1629,906
36005000312,3988,650,3988,1339,1205,970,427,787,470,2578,1016
36047000313,1924,202,1924,959,863,857,282,390,168,1048,699
36081000314,6273,517,6273,2566,2309,1593,776,868,608,3474,1686
36085000315,4080,1043,4080,1369,1232,1094,605,835,549,3026,1575
36081000316,4873,407,4873,2276,2048,1569,510,1105,274,3815,2085
36047000317,5194,1330,5194,2887,2598,2478,210,631,356,2263,2677
36005000318,2648,645,2648,1559,1403,901,137,363,324,1265,1524
36005000319,1564,109,1564,493,443,355,122,152,227,757,909
36005000320,2087,584,2087,1172,1054,877,151,302,190,863,780
36085000321,6595,1642,6595,2389,2150,1569,885,1262,658,4525,2116
36005000322,6080,983,6080,2673,2405,1374,347,1315,694,3858,3561
36047000323,2962,927,2962,1305,1174,1063,438,422,202,1575,629
36047000324,6144,1619,6144,2974,2676,2155,590,1143,655,2614,3235
36081000325,2821,701,2821,987,888,754,238,549,359,1318,1473
36005000326,1366,453,1366,453,407,250,144,155,166,1081,602
36047000327,6895,978,6895,2642,2377,1527,1012,1012,659,4009,2352
36061000328,5514,744,5514,3177,2859,2791,613,1250,494,2312,2109
36005000329,1844,442,1844,860,774,420,236,426,197,1294,434
36081000330,1176,126,1176,372,334,214,78,141,161,618,416
36081000331,7475,1076,7475,3901,3510,3301,1124,1107,545,3365,1670
36085000332,1962,378,1962,985,886,770,109,474,130,1010,1085
36047000333,7092,715,7092,2442,2197,1769,301,1367,918,4484,1516
36061000334,3460,1091,3460,1558,1402,651,396,813,212,2748,1609
36047000335,5165,641,5165,1701,1530,1278,280,965,643,2841,1380
36047000336,3567,594,3567,1815,1633,1162,368,717,277,1430,1742
36047000337,1620,339,1620,728,655,401,217,390,165,913,642
36005000338,7813,2660,7813,2833,2549,1507,510,918,683,5102,3186
36005000339,1120,76,1120,594,534,413,72,156,61,470,260
36085000340,6181,1697,6181,2488,2239,1840,297,962,673,4439,2738
36081000341,4459,525,4459,1784,1605,1377,384,1096,223,1893,2191
36085000342,7923,568,7923,3804,3423,1861,1031,1615,572,5159,2574
36081000343,7537,1055,7537,2981,2682,2002,712,844,653,5470,2596
36081000344,7041,1271,7041,3135,2821,1307,373,1732,835,4826,3677
36085000345,2372,239,2372,1034,930,585,118,236,149,1450,1184
36047000346,3936,570,3936,2074,1866,930,620,402,465,3008,2294
36081000347,1378,377,1378,472,424,318,103,235,73,738,493
36047000348,4378,487,4378,1689,1520,1005,513,592,656,2642,1016
36005000349,5687,1113,5687,2596,2336,1824,787,619,607,4131,1848
36005000350,6656,2157,6656,2678,2410,2243,517,1294,370,3254,1382
36047000351,7746,1703,7746,3773,3395,2822,1024,1920,450,4771,2656
36085000352,5644,634,5644,2392,2152,1519,397,1094,683,3163,2773
36085000353,6956,2301,6956,2096,1886,1239,583,676,702,4719,1525
36081000354,6694,1356,6694,2628,2365,1457,783,587,852,2770,3498
36005000355,1276,151,1276,751,675,630,190,175,70,1016,419
36005000356,6485,1971,6485,1992,1792,1525,496,1241,451,5120,1666
36047000357,2792,239,2792,1601,1440,1125,176,402,272,2196,735
36047000358,4671,672,4671,1813,1631,1596,564,1087,281,2607,1127
36005000359,7508,1074,7508,3717,3345,2949,500,1397,1016,5868,1950
36047000360,6733,553,6733,3663,3296,2360,1034,706,658,4691,3479
36005000361,4133,541,4133,1559,1403,641,289,488,307,2505,1216
36061000362,3991,738,3991,2370,2133,1490,186,918,261,2818,817
36047000363,5969,607,5969,1929,1736,1048,310,793,386,3263,1594
36005000364,3250,775,3250,1021,918,566,160,291,468,1973,779
36081000365,4565,259,4565,1939,1745,1064,213,818,275,2235,2207
36085000366,7661,413,7661,2327,2094,1370,375,1642,513,3878,3246
36085000367,1605,287,1605,882,793,649,206,210,199,966,814
36061000368,2442,359,2442,1014,912,689,348,474,178,1367,650
36061000369,4584,1441,4584,2410,2169,1576,461,762,473,3009,2692
36047000370,1101,149,1101,341,306,274,90,174,59,844,595
36005000371,1420,140,1420,637,573,481,88,324,128,779,665
36085000372,5290,807,5290,1632,1468,1244,566,1018,526,2271,2436
36005000373,5229,1113,5229,2828,2545,1921,314,860,632,3479,2836
36061000374,7496,1584,7496,3666,3299,2213,562,1021,1077,3559,3013
36047000375,6396,1293,6396,2835,2551,1256,793,1233,804,4023,3734
36081000376,7388,2189,7388,3942,3547,2107,868,746,831,4478,2527
36005000377,7161,1637,7161,2594,2334,1385,1058,1009,612,4566,1878
36085000378,7358,1178,7358,2903,2612,1227,540,1064,677,4292,1779
36005000379,7447,1593,7447,4114,3702,1745,988,1657,643,5827,4334
36061000380,4121,1332,4121,1724,1551,916,585,821,492,3263,2459
36061000381,7395,1844,7395,3523,3170,2196,711,1619,399,4898,1783
36047000382,5811,675,5811,2025,1822,1477,362,1189,616,4472,2699
36047000383,7637,1198,7637,4483,4034,2807,755,970,981,4260,1834
36081000384,6624,551,6624,2796,2516,1332,533,1476,366,4839,3733
36005000385,1254,110,1254,546,491,470,144,108,181,626,388
36047000386,5511,1624,5511,1814,1632,773,516,941,475,2751,2609
36085000387,1870,647,1870,933,839,512,136,204,258,811,618
36047000388,3665,657,3665,1264,1137,1031,451,640,361,1646,1369
36005000389,3542,521,3542,1864,1677,1668,294,431,416,2698,1364
36005000390,3492,772,3492,1342,1207,550,249,651,263,2261,996
36061000391,5767,744,5767,2324,2091,1929,745,1002,322,4452,3082
36047000392,2062,627,2062,641,576,511,260,413,245,1406,512
36085000393,1725,305,1725,706,635,424,111,271,247,1138,896
36047000394,1568,492,1568,907,816,398,80,299,195,705,785
36081000395,6815,2224,6815,2213,1991,930,412,1310,556,2946,3522
36081000396,6124,1362,6124,2925,2632,1891,517,1507,710,3780,2935
36081000397,2762,604,2762,923,830,768,347,342,196,1203,1642
36085000398,7590,1883,7590,4298,3868,2078,475,1520,435,5645,1946
36005000399,1785,142,1785,1032,928,415,176,338,116,786,402
36085000400,7132,2439,7132,3677,3309,2610,470,1638,410,3618,2971
36081000401,7593,1499,7593,3980,3582,2275,474,1001,859,3073,1621
36085000402,5451,1630,5451,2336,2102,1240,395,1294,661,3996,2193
36047000403,7317,2057,7317,2277,2049,1005,447,810,773,4685,2634
36061000404,5464,373,5464,2136,1922,1054,382,590,480,4197,2396
36047000405,6806,1813,6806,2316,2084,1609,395,606,493,4722,3310
36061000406,7508,1759,7508,3515,3163,2378,1028,1609,627,3381,3204
36085000407,2662,573,2662,1497,1347,684,207,396,309,1232,987
36047000408,7073,2281,7073,3468,3121,1442,577,1561,682,3466,3424
36047000409,3408,508,3408,1457,1311,1262,500,291,192,1617,2033
