date,hospital_name,borough,zip_code,er_visits_respiratory,total_er_visits,covid_cases,data_source
2020-03-12,Brooklyn Health Center,BK,11201,33,47,96,NYC_COVID_REAL
2020-03-12,Manhattan Hospital,MN,10001,16,36,137,NYC_COVID_REAL
2020-03-12,Queens Medical Center,QN,11101,35,49,80,NYC_COVID_REAL
2020-03-12,Staten Island Hospital,SI,10301,3,14,13,NYC_COVID_REAL
2020-03-13,Bronx Medical Center,BX,10451,26,52,79,NYC_COVID_REAL
2020-03-13,Brooklyn Health Center,BK,11201,44,55,166,NYC_COVID_REAL
2020-03-13,Manhattan Hospital,MN,10001,31,50,182,NYC_COVID_REAL
2020-03-13,Queens Medical Center,QN,11101,49,62,166,NYC_COVID_REAL
2020-03-13,Staten Island Hospital,SI,10301,2,18,26,NYC_COVID_REAL
2020-03-14,Bronx Medical Center,BX,10451,22,36,86,NYC_COVID_REAL
2020-03-14,Brooklyn Health Center,BK,11201,40,52,163,NYC_COVID_REAL
2020-03-14,Manhattan Hospital,MN,10001,36,51,176,NYC_COVID_REAL
2020-03-14,Queens Medical Center,QN,11101,72,92,194,NYC_COVID_REAL
2020-03-14,Staten Island Hospital,SI,10301,7,34,23,NYC_COVID_REAL
2020-03-15,Bronx Medical Center,BX,10451,37,48,119,NYC_COVID_REAL
2020-03-15,Brooklyn Health Center,BK,11201,53,74,432,NYC_COVID_REAL
2020-03-15,Manhattan Hospital,MN,10001,33,62,205,NYC_COVID_REAL
2020-03-15,Queens Medical Center,QN,11101,67,91,231,NYC_COVID_REAL
2020-03-15,Staten Island Hospital,SI,10301,20,36,47,NYC_COVID_REAL
2020-03-16,Bronx Medical Center,BX,10451,72,91,305,NYC_COVID_REAL
2020-03-16,Brooklyn Health Center,BK,11201,92,102,740,NYC_COVID_REAL
2020-03-16,Manhattan Hospital,MN,10001,45,59,457,NYC_COVID_REAL
2020-03-16,Queens Medical Center,QN,11101,114,139,528,NYC_COVID_REAL
2020-03-16,Staten Island Hospital,SI,10301,15,39,91,NYC_COVID_REAL
2020-03-17,Bronx Medical Center,BX,10451,60,88,343,NYC_COVID_REAL
2020-03-17,Brooklyn Health Center,BK,11201,98,108,783,NYC_COVID_REAL
2020-03-17,Manhattan Hospital,MN,10001,76,86,567,NYC_COVID_REAL
2020-03-17,Queens Medical Center,QN,11101,128,150,650,NYC_COVID_REAL
2020-03-17,Staten Island Hospital,SI,10301,23,49,108,NYC_COVID_REAL
2020-03-18,Bronx Medical Center,BX,10451,110,139,482,NYC_COVID_REAL
2020-03-18,Brooklyn Health Center,BK,11201,123,149,965,NYC_COVID_REAL
2020-03-18,Manhattan Hospital,MN,10001,87,99,538,NYC_COVID_REAL
2020-03-18,Queens Medical Center,QN,11101,152,180,835,NYC_COVID_REAL
2020-03-18,Staten Island Hospital,SI,10301,22,33,150,NYC_COVID_REAL
2020-03-19,Bronx Medical Center,BX,10451,135,147,623,NYC_COVID_REAL
2020-03-19,Brooklyn Health Center,BK,11201,157,169,1204,NYC_COVID_REAL
2020-03-19,Manhattan Hospital,MN,10001,105,130,555,NYC_COVID_REAL
2020-03-19,Queens Medical Center,QN,11101,208,225,1065,NYC_COVID_REAL
2020-03-19,Staten Island Hospital,SI,10301,26,44,258,NYC_COVID_REAL
2020-03-20,Bronx Medical Center,BX,10451,126,150,723,NYC_COVID_REAL
2020-03-20,Brooklyn Health Center,BK,11201,220,238,1136,NYC_COVID_REAL
2020-03-20,Manhattan Hospital,MN,10001,112,131,653,NYC_COVID_REAL
2020-03-20,Queens Medical Center,QN,11101,247,262,1185,NYC_COVID_REAL
2020-03-20,Staten Island Hospital,SI,10301,33,49,310,NYC_COVID_REAL
2020-03-21,Bronx Medical Center,BX,10451,158,171,491,NYC_COVID_REAL
2020-03-21,Brooklyn Health Center,BK,11201,182,211,554,NYC_COVID_REAL
2020-03-21,Manhattan Hospital,MN,10001,117,145,399,NYC_COVID_REAL
2020-03-21,Queens Medical Center,QN,11101,244,270,947,NYC_COVID_REAL
2020-03-21,Staten Island Hospital,SI,10301,33,52,248,NYC_COVID_REAL
2020-03-22,Bronx Medical Center,BX,10451,173,187,495,NYC_COVID_REAL
2020-03-22,Brooklyn Health Center,BK,11201,206,229,755,NYC_COVID_REAL
2020-03-22,Manhattan Hospital,MN,10001,131,156,317,NYC_COVID_REAL
2020-03-22,Queens Medical Center,QN,11101,229,243,696,NYC_COVID_REAL
2020-03-22,Staten Island Hospital,SI,10301,34,45,317,NYC_COVID_REAL
2020-03-23,Bronx Medical Center,BX,10451,219,241,730,NYC_COVID_REAL
2020-03-23,Brooklyn Health Center,BK,11201,294,319,909,NYC_COVID_REAL
2020-03-23,Manhattan Hospital,MN,10001,185,211,530,NYC_COVID_REAL
2020-03-23,Queens Medical Center,QN,11101,390,418,1192,NYC_COVID_REAL
2020-03-23,Staten Island Hospital,SI,10301,43,63,209,NYC_COVID_REAL
2020-03-24,Bronx Medical Center,BX,10451,270,291,927,NYC_COVID_REAL
2020-03-24,Brooklyn Health Center,BK,11201,359,379,1212,NYC_COVID_REAL
2020-03-24,Manhattan Hospital,MN,10001,204,233,619,NYC_COVID_REAL
2020-03-24,Queens Medical Center,QN,11101,420,444,1389,NYC_COVID_REAL
2020-03-24,Staten Island Hospital,SI,10301,48,76,350,NYC_COVID_REAL
2020-03-25,Bronx Medical Center,BX,10451,313,331,1068,NYC_COVID_REAL
2020-03-25,Brooklyn Health Center,BK,11201,422,437,1255,NYC_COVID_REAL
2020-03-25,Manhattan Hospital,MN,10001,200,223,586,NYC_COVID_REAL
2020-03-25,Queens Medical Center,QN,11101,447,475,1570,NYC_COVID_REAL
2020-03-25,Staten Island Hospital,SI,10301,52,67,394,NYC_COVID_REAL
2020-03-26,Bronx Medical Center,BX,10451,316,343,998,NYC_COVID_REAL
2020-03-26,Brooklyn Health Center,BK,11201,487,512,1372,NYC_COVID_REAL
2020-03-26,Manhattan Hospital,MN,10001,225,243,625,NYC_COVID_REAL
2020-03-26,Queens Medical Center,QN,11101,451,467,1644,NYC_COVID_REAL
2020-03-26,Staten Island Hospital,SI,10301,56,81,405,NYC_COVID_REAL
2020-03-27,Bronx Medical Center,BX,10451,314,324,1090,NYC_COVID_REAL
2020-03-27,Brooklyn Health Center,BK,11201,472,500,1425,NYC_COVID_REAL
2020-03-27,Manhattan Hospital,MN,10001,222,245,656,NYC_COVID_REAL
2020-03-27,Queens Medical Center,QN,11101,513,539,1576,NYC_COVID_REAL
2020-03-27,Staten Island Hospital,SI,10301,64,79,372,NYC_COVID_REAL
2020-03-28,Bronx Medical Center,BX,10451,312,341,761,NYC_COVID_REAL
2020-03-28,Brooklyn Health Center,BK,11201,395,411,863,NYC_COVID_REAL
2020-03-28,Manhattan Hospital,MN,10001,186,207,388,NYC_COVID_REAL
2020-03-28,Queens Medical Center,QN,11101,451,461,1201,NYC_COVID_REAL
2020-03-28,Staten Island Hospital,SI,10301,50,62,265,NYC_COVID_REAL
2020-03-29,Bronx Medical Center,BX,10451,320,333,699,NYC_COVID_REAL
2020-03-29,Brooklyn Health Center,BK,11201,463,485,1149,NYC_COVID_REAL
2020-03-29,Manhattan Hospital,MN,10001,158,170,407,NYC_COVID_REAL
2020-03-29,Queens Medical Center,QN,11101,504,524,1075,NYC_COVID_REAL
2020-03-29,Staten Island Hospital,SI,10301,64,82,230,NYC_COVID_REAL
2020-03-30,Bronx Medical Center,BX,10451,350,360,1315,NYC_COVID_REAL
2020-03-30,Brooklyn Health Center,BK,11201,555,572,1754,NYC_COVID_REAL
2020-03-30,Manhattan Hospital,MN,10001,272,284,802,NYC_COVID_REAL
2020-03-30,Queens Medical Center,QN,11101,609,629,1859,NYC_COVID_REAL
2020-03-30,Staten Island Hospital,SI,10301,72,96,398,NYC_COVID_REAL
2020-03-31,Bronx Medical Center,BX,10451,390,411,1282,NYC_COVID_REAL
2020-03-31,Brooklyn Health Center,BK,11201,544,564,1512,NYC_COVID_REAL
2020-03-31,Manhattan Hospital,MN,10001,221,233,616,NYC_COVID_REAL
2020-03-31,Queens Medical Center,QN,11101,592,620,1811,NYC_COVID_REAL
2020-03-31,Staten Island Hospital,SI,10301,69,91,237,NYC_COVID_REAL
2020-04-01,Bronx Medical Center,BX,10451,374,399,1240,NYC_COVID_REAL
2020-04-01,Brooklyn Health Center,BK,11201,515,528,1590,NYC_COVID_REAL
2020-04-01,Manhattan Hospital,MN,10001,217,227,573,NYC_COVID_REAL
2020-04-01,Queens Medical Center,QN,11101,579,598,1781,NYC_COVID_REAL
2020-04-01,Staten Island Hospital,SI,10301,83,97,264,NYC_COVID_REAL
2020-04-02,Bronx Medical Center,BX,10451,354,380,1289,NYC_COVID_REAL
2020-04-02,Brooklyn Health Center,BK,11201,444,457,1610,NYC_COVID_REAL
2020-04-02,Manhattan Hospital,MN,10001,242,267,652,NYC_COVID_REAL
2020-04-02,Queens Medical Center,QN,11101,570,591,1826,NYC_COVID_REAL
2020-04-02,Staten Island Hospital,SI,10301,74,97,369,NYC_COVID_REAL
2020-04-03,Bronx Medical Center,BX,10451,381,407,1452,NYC_COVID_REAL
2020-04-03,Brooklyn Health Center,BK,11201,449,473,1440,NYC_COVID_REAL
2020-04-03,Manhattan Hospital,MN,10001,255,268,671,NYC_COVID_REAL
2020-04-03,Queens Medical Center,QN,11101,559,569,1762,NYC_COVID_REAL
2020-04-03,Staten Island Hospital,SI,10301,68,93,345,NYC_COVID_REAL
2020-04-04,Bronx Medical Center,BX,10451,312,325,1012,NYC_COVID_REAL
2020-04-04,Brooklyn Health Center,BK,11201,375,399,920,NYC_COVID_REAL
2020-04-04,Manhattan Hospital,MN,10001,198,220,385,NYC_COVID_REAL
2020-04-04,Queens Medical Center,QN,11101,521,550,1203,NYC_COVID_REAL
2020-04-04,Staten Island Hospital,SI,10301,54,71,345,NYC_COVID_REAL
2020-04-05,Bronx Medical Center,BX,10451,306,316,822,NYC_COVID_REAL
2020-04-05,Brooklyn Health Center,BK,11201,401,411,1144,NYC_COVID_REAL
2020-04-05,Manhattan Hospital,MN,10001,190,201,356,NYC_COVID_REAL
2020-04-05,Queens Medical Center,QN,11101,437,466,1136,NYC_COVID_REAL
2020-04-05,Staten Island Hospital,SI,10301,72,86,323,NYC_COVID_REAL
2020-04-06,Bronx Medical Center,BX,10451,388,399,1514,NYC_COVID_REAL
2020-04-06,Brooklyn Health Center,BK,11201,471,491,1461,NYC_COVID_REAL
2020-04-06,Manhattan Hospital,MN,10001,261,279,721,NYC_COVID_REAL
2020-04-06,Queens Medical Center,QN,11101,547,566,1927,NYC_COVID_REAL
2020-04-06,Staten Island Hospital,SI,10301,83,108,730,NYC_COVID_REAL
2020-04-07,Bronx Medical Center,BX,10451,331,351,1463,NYC_COVID_REAL
2020-04-07,Brooklyn Health Center,BK,11201,464,483,1397,NYC_COVID_REAL
2020-04-07,Manhattan Hospital,MN,10001,194,208,605,NYC_COVID_REAL
2020-04-07,Queens Medical Center,QN,11101,532,556,1949,NYC_COVID_REAL
2020-04-07,Staten Island Hospital,SI,10301,69,84,630,NYC_COVID_REAL
2020-04-08,Bronx Medical Center,BX,10451,356,373,1304,NYC_COVID_REAL
2020-04-08,Brooklyn Health Center,BK,11201,455,479,1305,NYC_COVID_REAL
2020-04-08,Manhattan Hospital,MN,10001,172,195,546,NYC_COVID_REAL
2020-04-08,Queens Medical Center,QN,11101,514,529,1857,NYC_COVID_REAL
2020-04-08,Staten Island Hospital,SI,10301,62,87,562,NYC_COVID_REAL
2020-04-09,Bronx Medical Center,BX,10451,271,300,1285,NYC_COVID_REAL
2020-04-09,Brooklyn Health Center,BK,11201,414,434,1369,NYC_COVID_REAL
2020-04-09,Manhattan Hospital,MN,10001,189,212,558,NYC_COVID_REAL
2020-04-09,Queens Medical Center,QN,11101,426,438,1560,NYC_COVID_REAL
2020-04-09,Staten Island Hospital,SI,10301,53,74,298,NYC_COVID_REAL
2020-04-10,Bronx Medical Center,BX,10451,293,312,1227,NYC_COVID_REAL
2020-04-10,Brooklyn Health Center,BK,11201,327,356,1145,NYC_COVID_REAL
2020-04-10,Manhattan Hospital,MN,10001,176,204,495,NYC_COVID_REAL
2020-04-10,Queens Medical Center,QN,11101,437,460,1342,NYC_COVID_REAL
2020-04-10,Staten Island Hospital,SI,10301,60,75,301,NYC_COVID_REAL
2020-04-11,Bronx Medical Center,BX,10451,245,265,998,NYC_COVID_REAL
2020-04-11,Brooklyn Health Center,BK,11201,296,317,1131,NYC_COVID_REAL
2020-04-11,Manhattan Hospital,MN,10001,131,155,304,NYC_COVID_REAL
2020-04-11,Queens Medical Center,QN,11101,329,341,987,NYC_COVID_REAL
2020-04-11,Staten Island Hospital,SI,10301,47,68,311,NYC_COVID_REAL
2020-04-12,Bronx Medical Center,BX,10451,227,254,763,NYC_COVID_REAL
2020-04-12,Brooklyn Health Center,BK,11201,254,281,703,NYC_COVID_REAL
2020-04-12,Manhattan Hospital,MN,10001,128,154,252,NYC_COVID_REAL
2020-04-12,Queens Medical Center,QN,11101,298,311,916,NYC_COVID_REAL
2020-04-12,Staten Island Hospital,SI,10301,44,63,253,NYC_COVID_REAL
2020-04-13,Bronx Medical Center,BX,10451,262,276,693,NYC_COVID_REAL
2020-04-13,Brooklyn Health Center,BK,11201,325,335,1066,NYC_COVID_REAL
2020-04-13,Manhattan Hospital,MN,10001,169,190,393,NYC_COVID_REAL
2020-04-13,Queens Medical Center,QN,11101,342,355,974,NYC_COVID_REAL
2020-04-13,Staten Island Hospital,SI,10301,58,71,185,NYC_COVID_REAL
2020-04-14,Bronx Medical Center,BX,10451,202,229,1076,NYC_COVID_REAL
2020-04-14,Brooklyn Health Center,BK,11201,261,280,1038,NYC_COVID_REAL
2020-04-14,Manhattan Hospital,MN,10001,139,155,440,NYC_COVID_REAL
2020-04-14,Queens Medical Center,QN,11101,336,362,1300,NYC_COVID_REAL
2020-04-14,Staten Island Hospital,SI,10301,46,63,290,NYC_COVID_REAL
2020-04-15,Bronx Medical Center,BX,10451,201,212,1068,NYC_COVID_REAL
2020-04-15,Brooklyn Health Center,BK,11201,243,269,882,NYC_COVID_REAL
2020-04-15,Manhattan Hospital,MN,10001,129,146,429,NYC_COVID_REAL
2020-04-15,Queens Medical Center,QN,11101,262,284,1180,NYC_COVID_REAL
2020-04-15,Staten Island Hospital,SI,10301,31,52,317,NYC_COVID_REAL
2020-04-16,Bronx Medical Center,BX,10451,172,187,940,NYC_COVID_REAL
2020-04-16,Brooklyn Health Center,BK,11201,228,241,885,NYC_COVID_REAL
2020-04-16,Manhattan Hospital,MN,10001,104,131,355,NYC_COVID_REAL
2020-04-16,Queens Medical Center,QN,11101,236,250,1139,NYC_COVID_REAL
2020-04-16,Staten Island Hospital,SI,10301,42,68,211,NYC_COVID_REAL
2020-04-17,Bronx Medical Center,BX,10451,169,191,916,NYC_COVID_REAL
2020-04-17,Brooklyn Health Center,BK,11201,231,259,962,NYC_COVID_REAL
2020-04-17,Manhattan Hospital,MN,10001,106,127,330,NYC_COVID_REAL
2020-04-17,Queens Medical Center,QN,11101,252,263,1099,NYC_COVID_REAL
2020-04-17,Staten Island Hospital,SI,10301,32,61,279,NYC_COVID_REAL
2020-04-18,Bronx Medical Center,BX,10451,133,147,552,NYC_COVID_REAL
2020-04-18,Brooklyn Health Center,BK,11201,155,175,575,NYC_COVID_REAL
2020-04-18,Manhattan Hospital,MN,10001,83,108,187,NYC_COVID_REAL
2020-04-18,Queens Medical Center,QN,11101,184,205,705,NYC_COVID_REAL
2020-04-18,Staten Island Hospital,SI,10301,29,57,153,NYC_COVID_REAL
2020-04-19,Bronx Medical Center,BX,10451,142,165,531,NYC_COVID_REAL
2020-04-19,Brooklyn Health Center,BK,11201,124,139,635,NYC_COVID_REAL
2020-04-19,Manhattan Hospital,MN,10001,69,83,176,NYC_COVID_REAL
2020-04-19,Queens Medical Center,QN,11101,173,185,866,NYC_COVID_REAL
2020-04-19,Staten Island Hospital,SI,10301,28,41,134,NYC_COVID_REAL
2020-04-20,Bronx Medical Center,BX,10451,141,151,981,NYC_COVID_REAL
2020-04-20,Brooklyn Health Center,BK,11201,187,208,983,NYC_COVID_REAL
2020-04-20,Manhattan Hospital,MN,10001,95,122,381,NYC_COVID_REAL
2020-04-20,Queens Medical Center,QN,11101,186,212,1223,NYC_COVID_REAL
2020-04-20,Staten Island Hospital,SI,10301,32,55,224,NYC_COVID_REAL
2020-04-21,Bronx Medical Center,BX,10451,141,154,641,NYC_COVID_REAL
2020-04-21,Brooklyn Health Center,BK,11201,160,172,896,NYC_COVID_REAL
2020-04-21,Manhattan Hospital,MN,10001,90,103,371,NYC_COVID_REAL
2020-04-21,Queens Medical Center,QN,11101,172,189,937,NYC_COVID_REAL
2020-04-21,Staten Island Hospital,SI,10301,24,43,216,NYC_COVID_REAL
2020-04-22,Bronx Medical Center,BX,10451,119,146,927,NYC_COVID_REAL
2020-04-22,Brooklyn Health Center,BK,11201,139,168,854,NYC_COVID_REAL
2020-04-22,Manhattan Hospital,MN,10001,90,102,382,NYC_COVID_REAL
2020-04-22,Queens Medical Center,QN,11101,154,173,1109,NYC_COVID_REAL
2020-04-22,Staten Island Hospital,SI,10301,17,46,173,NYC_COVID_REAL
2020-04-23,Bronx Medical Center,BX,10451,109,135,735,NYC_COVID_REAL
2020-04-23,Brooklyn Health Center,BK,11201,126,137,786,NYC_COVID_REAL
2020-04-23,Manhattan Hospital,MN,10001,55,70,400,NYC_COVID_REAL
2020-04-23,Queens Medical Center,QN,11101,136,160,793,NYC_COVID_REAL
2020-04-23,Staten Island Hospital,SI,10301,22,51,127,NYC_COVID_REAL
2020-04-24,Bronx Medical Center,BX,10451,99,113,579,NYC_COVID_REAL
2020-04-24,Brooklyn Health Center,BK,11201,128,138,630,NYC_COVID_REAL
2020-04-24,Manhattan Hospital,MN,10001,80,93,408,NYC_COVID_REAL
2020-04-24,Queens Medical Center,QN,11101,138,166,775,NYC_COVID_REAL
2020-04-24,Staten Island Hospital,SI,10301,29,55,143,NYC_COVID_REAL
2020-04-25,Bronx Medical Center,BX,10451,79,107,418,NYC_COVID_REAL
2020-04-25,Brooklyn Health Center,BK,11201,94,104,404,NYC_COVID_REAL
2020-04-25,Manhattan Hospital,MN,10001,42,55,145,NYC_COVID_REAL
2020-04-25,Queens Medical Center,QN,11101,89,115,540,NYC_COVID_REAL
2020-04-25,Staten Island Hospital,SI,10301,23,46,88,NYC_COVID_REAL
2020-04-26,Bronx Medical Center,BX,10451,74,100,196,NYC_COVID_REAL
2020-04-26,Brooklyn Health Center,BK,11201,75,93,332,NYC_COVID_REAL
2020-04-26,Manhattan Hospital,MN,10001,41,53,98,NYC_COVID_REAL
2020-04-26,Queens Medical Center,QN,11101,100,110,331,NYC_COVID_REAL
2020-04-26,Staten Island Hospital,SI,10301,17,38,46,NYC_COVID_REAL
2020-04-27,Bronx Medical Center,BX,10451,90,117,551,NYC_COVID_REAL
2020-04-27,Brooklyn Health Center,BK,11201,92,121,607,NYC_COVID_REAL
2020-04-27,Manhattan Hospital,MN,10001,61,80,302,NYC_COVID_REAL
2020-04-27,Queens Medical Center,QN,11101,107,132,723,NYC_COVID_REAL
2020-04-27,Staten Island Hospital,SI,10301,20,32,107,NYC_COVID_REAL
2020-04-28,Bronx Medical Center,BX,10451,88,109,668,NYC_COVID_REAL
2020-04-28,Brooklyn Health Center,BK,11201,92,120,709,NYC_COVID_REAL
2020-04-28,Manhattan Hospital,MN,10001,56,75,323,NYC_COVID_REAL
2020-04-28,Queens Medical Center,QN,11101,106,132,896,NYC_COVID_REAL
2020-04-28,Staten Island Hospital,SI,10301,14,41,130,NYC_COVID_REAL
2020-04-29,Bronx Medical Center,BX,10451,77,105,557,NYC_COVID_REAL
2020-04-29,Brooklyn Health Center,BK,11201,93,108,683,NYC_COVID_REAL
2020-04-29,Manhattan Hospital,MN,10001,43,64,285,NYC_COVID_REAL
2020-04-29,Queens Medical Center,QN,11101,87,116,691,NYC_COVID_REAL
2020-04-29,Staten Island Hospital,SI,10301,13,26,123,NYC_COVID_REAL
2020-04-30,Bronx Medical Center,BX,10451,58,83,482,NYC_COVID_REAL
2020-04-30,Brooklyn Health Center,BK,11201,74,91,600,NYC_COVID_REAL
2020-04-30,Manhattan Hospital,MN,10001,31,50,217,NYC_COVID_REAL
2020-04-30,Queens Medical Center,QN,11101,79,95,592,NYC_COVID_REAL
2020-04-30,Staten Island Hospital,SI,10301,12,23,130,NYC_COVID_REAL
2020-05-01,Bronx Medical Center,BX,10451,70,95,450,NYC_COVID_REAL
2020-05-01,Brooklyn Health Center,BK,11201,66,93,497,NYC_COVID_REAL
2020-05-01,Manhattan Hospital,MN,10001,33,55,240,NYC_COVID_REAL
2020-05-01,Queens Medical Center,QN,11101,81,110,621,NYC_COVID_REAL
2020-05-01,Staten Island Hospital,SI,10301,13,30,78,NYC_COVID_REAL
2020-05-02,Bronx Medical Center,BX,10451,50,61,263,NYC_COVID_REAL
2020-05-02,Brooklyn Health Center,BK,11201,53,63,263,NYC_COVID_REAL
2020-05-02,Manhattan Hospital,MN,10001,23,51,138,NYC_COVID_REAL
2020-05-02,Queens Medical Center,QN,11101,64,88,333,NYC_COVID_REAL
2020-05-02,Staten Island Hospital,SI,10301,18,33,61,NYC_COVID_REAL
2020-05-03,Bronx Medical Center,BX,10451,44,66,153,NYC_COVID_REAL
2020-05-03,Brooklyn Health Center,BK,11201,57,77,245,NYC_COVID_REAL
2020-05-03,Manhattan Hospital,MN,10001,33,51,103,NYC_COVID_REAL
2020-05-03,Queens Medical Center,QN,11101,69,80,251,NYC_COVID_REAL
2020-05-03,Staten Island Hospital,SI,10301,13,29,35,NYC_COVID_REAL
2020-05-04,Bronx Medical Center,BX,10451,57,70,349,NYC_COVID_REAL
2020-05-04,Brooklyn Health Center,BK,11201,72,91,461,NYC_COVID_REAL
2020-05-04,Manhattan Hospital,MN,10001,38,56,214,NYC_COVID_REAL
2020-05-04,Queens Medical Center,QN,11101,60,76,437,NYC_COVID_REAL
2020-05-04,Staten Island Hospital,SI,10301,14,30,88,NYC_COVID_REAL
2020-05-05,Bronx Medical Center,BX,10451,64,91,294,NYC_COVID_REAL
2020-05-05,Brooklyn Health Center,BK,11201,64,86,432,NYC_COVID_REAL
2020-05-05,Manhattan Hospital,MN,10001,25,52,242,NYC_COVID_REAL
2020-05-05,Queens Medical Center,QN,11101,49,68,462,NYC_COVID_REAL
2020-05-05,Staten Island Hospital,SI,10301,11,31,82,NYC_COVID_REAL
2020-05-06,Bronx Medical Center,BX,10451,56,74,279,NYC_COVID_REAL
2020-05-06,Brooklyn Health Center,BK,11201,62,91,450,NYC_COVID_REAL
