date,hospital_name,borough,zip_code,er_visits_respiratory,total_er_visits
2020-03-03,Elmhurst Hospital,Queens,12535,38,134
2020-03-03,Richmond University Medical Center,Staten Island,11293,34,86
2020-03-03,Staten Island University Hospital,Staten Island,18906,20,85
2020-03-04,Bronx-Lebanon Hospital,Bronx,16778,25,88
2020-03-04,St. Barnabas Hospital,Bronx,11445,26,114
2020-03-04,Montefiore Medical Center,Bronx,19402,34,105
2020-03-04,Brooklyn Methodist Hospital,Brooklyn,14372,35,134
2020-03-04,Kings County Hospital,Brooklyn,18813,16,77
2020-03-04,Maimonides Medical Center,Brooklyn,13413,22,151
2020-03-04,Mount Sinai Hospital,Manhattan,11449,16,75
2020-03-04,NYU Langone Health,Manhattan,17830,24,89
2020-03-04,NewYork-Presbyterian,Manhattan,13960,28,108
2020-03-04,Jamaica Hospital,Queens,11248,39,170
2020-03-04,Queens Hospital Center,Queens,11689,37,186
2020-03-04,Elmhurst Hospital,Queens,18297,23,91
2020-03-04,Richmond University Medical Center,Staten Island,12490,24,89
2020-03-04,Staten Island University Hospital,Staten Island,13291,44,146
2020-03-05,Bronx-Lebanon Hospital,Bronx,13372,19,111
2020-03-05,St. Barnabas Hospital,Bronx,14565,17,106
2020-03-05,Montefiore Medical Center,Bronx,14553,21,123
2020-03-05,Brooklyn Methodist Hospital,Brooklyn,19847,30,173
2020-03-05,Kings County Hospital,Brooklyn,15178,18,132
2020-03-05,Maimonides Medical Center,Brooklyn,15688,41,145
2020-03-05,Mount Sinai Hospital,Manhattan,15180,33,148
2020-03-05,NYU Langone Health,Manhattan,15824,15,116
2020-03-05,NewYork-Presbyterian,Manhattan,14387,27,142
2020-03-05,Jamaica Hospital,Queens,15526,40,99
2020-03-05,Queens Hospital Center,Queens,19308,16,164
2020-03-05,Elmhurst Hospital,Queens,14959,16,123
2020-03-05,Richmond University Medical Center,Staten Island,11206,43,164
2020-03-05,Staten Island University Hospital,Staten Island,12215,44,181
2020-03-06,Bronx-Lebanon Hospital,Bronx,15760,30,140
2020-03-06,St. Barnabas Hospital,Bronx,13059,32,142
2020-03-06,Montefiore Medical Center,Bronx,17394,35,109
2020-03-06,Brooklyn Methodist Hospital,Brooklyn,12069,28,78
2020-03-06,Kings County Hospital,Brooklyn,16721,44,168
2020-03-06,Maimonides Medical Center,Brooklyn,13413,34,109
2020-03-06,Mount Sinai Hospital,Manhattan,18601,29,105
2020-03-06,NYU Langone Health,Manhattan,14238,31,148
2020-03-06,NewYork-Presbyterian,Manhattan,19379,16,74
2020-03-06,Jamaica Hospital,Queens,18520,39,113
2020-03-06,Queens Hospital Center,Queens,15039,37,95
2020-03-06,Elmhurst Hospital,Queens,15597,42,154
2020-03-06,Richmond University Medical Center,Staten Island,16122,31,132
2020-03-06,Staten Island University Hospital,Staten Island,12720,43,179
2020-03-07,Bronx-Lebanon Hospital,Bronx,15709,44,182
2020-03-07,St. Barnabas Hospital,Bronx,18790,15,92
2020-03-07,Montefiore Medical Center,Bronx,14425,35,155
2020-03-07,Brooklyn Methodist Hospital,Brooklyn,15852,38,124
2020-03-07,Kings County Hospital,Brooklyn,15329,40,135
2020-03-07,Maimonides Medical Center,Brooklyn,12524,29,136
2020-03-07,Mount Sinai Hospital,Manhattan,18499,22,171
2020-03-07,NYU Langone Health,Manhattan,16759,37,132
2020-03-07,NewYork-Presbyterian,Manhattan,16497,35,110
2020-03-07,Jamaica Hospital,Queens,11605,20,102
2020-03-07,Queens Hospital Center,Queens,12530,38,149
2020-03-07,Elmhurst Hospital,Queens,19417,37,127
2020-03-07,Richmond University Medical Center,Staten Island,19769,37,132
2020-03-07,Staten Island University Hospital,Staten Island,11772,28,122
2020-03-08,Bronx-Lebanon Hospital,Bronx,15032,23,145
2020-03-08,St. Barnabas Hospital,Bronx,17350,20,73
2020-03-08,Montefiore Medical Center,Bronx,16294,16,131
2020-03-08,Brooklyn Methodist Hospital,Brooklyn,17339,44,146
2020-03-08,Kings County Hospital,Brooklyn,15307,27,152
2020-03-08,Maimonides Medical Center,Brooklyn,11757,22,94
2020-03-08,Mount Sinai Hospital,Manhattan,13365,35,161
2020-03-08,NYU Langone Health,Manhattan,11140,24,109
2020-03-08,NewYork-Presbyterian,Manhattan,12101,38,127
2020-03-08,Jamaica Hospital,Queens,17454,26,127
2020-03-08,Queens Hospital Center,Queens,11515,38,177
2020-03-08,Elmhurst Hospital,Queens,19759,29,94
2020-03-08,Richmond University Medical Center,Staten Island,16591,22,85
2020-03-08,Staten Island University Hospital,Staten Island,16574,27,120
2020-03-09,Bronx-Lebanon Hospital,Bronx,11186,16,121
2020-03-09,St. Barnabas Hospital,Bronx,17515,28,107
2020-03-09,Montefiore Medical Center,Bronx,17091,30,117
2020-03-09,Brooklyn Methodist Hospital,Brooklyn,12912,44,104
2020-03-09,Kings County Hospital,Brooklyn,11869,24,129
2020-03-09,Maimonides Medical Center,Brooklyn,17001,25,124
2020-03-09,Mount Sinai Hospital,Manhattan,18484,40,144
2020-03-09,NYU Langone Health,Manhattan,18354,23,154
2020-03-09,NewYork-Presbyterian,Manhattan,14435,25,86
2020-03-09,Jamaica Hospital,Queens,18234,27,83
2020-03-09,Queens Hospital Center,Queens,12565,33,155
2020-03-09,Elmhurst Hospital,Queens,12557,26,76
2020-03-09,Richmond University Medical Center,Staten Island,19615,38,106
2020-03-09,Staten Island University Hospital,Staten Island,11841,22,168
2020-03-10,Bronx-Lebanon Hospital,Bronx,12216,44,112
2020-03-10,St. Barnabas Hospital,Bronx,16640,21,137
2020-03-10,Montefiore Medical Center,Bronx,18649,40,95
2020-03-10,Brooklyn Methodist Hospital,Brooklyn,13596,41,153
2020-03-10,Kings County Hospital,Brooklyn,14782,23,168
2020-03-10,Maimonides Medical Center,Brooklyn,13748,16,106
2020-03-10,Mount Sinai Hospital,Manhattan,17759,32,181
2020-03-10,NYU Langone Health,Manhattan,14752,19,100
2020-03-10,NewYork-Presbyterian,Manhattan,18131,41,91
2020-03-10,Jamaica Hospital,Queens,13403,22,144
2020-03-10,Queens Hospital Center,Queens,15635,45,169
2020-03-10,Elmhurst Hospital,Queens,15298,17,159
2020-03-10,Richmond University Medical Center,Staten Island,19304,25,138
2020-03-10,Staten Island University Hospital,Staten Island,12481,23,100
2020-03-11,Bronx-Lebanon Hospital,Bronx,15455,29,135
2020-03-11,St. Barnabas Hospital,Bronx,11044,25,124
2020-03-11,Montefiore Medical Center,Bronx,19030,38,110
2020-03-11,Brooklyn Methodist Hospital,Brooklyn,15563,20,103
2020-03-11,Kings County Hospital,Brooklyn,18302,41,113
2020-03-11,Maimonides Medical Center,Brooklyn,13816,18,74
2020-03-11,Mount Sinai Hospital,Manhattan,18575,47,180
2020-03-11,NYU Langone Health,Manhattan,19554,52,150
2020-03-11,NewYork-Presbyterian,Manhattan,17876,22,91
2020-03-11,Jamaica Hospital,Queens,15207,24,81
2020-03-11,Queens Hospital Center,Queens,12134,27,104
2020-03-11,Elmhurst Hospital,Queens,15431,38,117
2020-03-11,Richmond University Medical Center,Staten Island,19246,19,123
2020-03-11,Staten Island University Hospital,Staten Island,16208,37,159
2020-03-12,Bronx-Lebanon Hospital,Bronx,14700,25,161
2020-03-12,St. Barnabas Hospital,Bronx,12094,20,76
2020-03-12,Montefiore Medical Center,Bronx,11661,27,163
2020-03-12,Brooklyn Methodist Hospital,Brooklyn,16240,54,152
2020-03-12,Kings County Hospital,Brooklyn,16621,47,171
2020-03-12,Maimonides Medical Center,Brooklyn,12297,50,105
2020-03-12,Mount Sinai Hospital,Manhattan,16036,57,186
2020-03-12,NYU Langone Health,Manhattan,14148,74,182
2020-03-12,NewYork-Presbyterian,Manhattan,17037,35,168
2020-03-12,Jamaica Hospital,Queens,17590,54,181
2020-03-12,Queens Hospital Center,Queens,16510,50,102
2020-03-12,Elmhurst Hospital,Queens,11589,40,101
2020-03-12,Richmond University Medical Center,Staten Island,18110,17,163
2020-03-12,Staten Island University Hospital,Staten Island,19696,19,86
2020-03-13,Bronx-Lebanon Hospital,Bronx,15043,44,94
2020-03-13,St. Barnabas Hospital,Bronx,13962,30,122
2020-03-13,Montefiore Medical Center,Bronx,18492,54,187
2020-03-13,Brooklyn Methodist Hospital,Brooklyn,11878,67,184
2020-03-13,Kings County Hospital,Brooklyn,18124,53,124
2020-03-13,Maimonides Medical Center,Brooklyn,18642,38,128
2020-03-13,Mount Sinai Hospital,Manhattan,13127,28,175
2020-03-13,NYU Langone Health,Manhattan,18737,80,149
2020-03-13,NewYork-Presbyterian,Manhattan,12528,70,141
2020-03-13,Jamaica Hospital,Queens,16048,69,125
2020-03-13,Queens Hospital Center,Queens,18913,76,149
2020-03-13,Elmhurst Hospital,Queens,13012,51,121
2020-03-13,Richmond University Medical Center,Staten Island,14752,42,152
2020-03-13,Staten Island University Hospital,Staten Island,15956,39,92
2020-03-14,Bronx-Lebanon Hospital,Bronx,15020,57,142
2020-03-14,St. Barnabas Hospital,Bronx,17549,42,160
2020-03-14,Montefiore Medical Center,Bronx,17600,44,179
2020-03-14,Brooklyn Methodist Hospital,Brooklyn,12864,74,162
2020-03-14,Kings County Hospital,Brooklyn,18306,52,188
2020-03-14,Maimonides Medical Center,Brooklyn,13717,68,118
2020-03-14,Mount Sinai Hospital,Manhattan,18080,60,162
2020-03-14,NYU Langone Health,Manhattan,19489,62,185
2020-03-14,NewYork-Presbyterian,Manhattan,12074,41,170
2020-03-14,Jamaica Hospital,Queens,14074,37,117
2020-03-14,Queens Hospital Center,Queens,18980,43,125
2020-03-14,Elmhurst Hospital,Queens,19784,37,181
2020-03-14,Richmond University Medical Center,Staten Island,16953,17,127
2020-03-14,Staten Island University Hospital,Staten Island,14804,20,158
2020-03-15,Bronx-Lebanon Hospital,Bronx,13151,35,87
2020-03-15,St. Barnabas Hospital,Bronx,17848,60,170
2020-03-15,Montefiore Medical Center,Bronx,19202,39,152
2020-03-15,Brooklyn Methodist Hospital,Brooklyn,17168,50,186
2020-03-15,Kings County Hospital,Brooklyn,11134,69,166
2020-03-15,Maimonides Medical Center,Brooklyn,14075,94,173
2020-03-15,Mount Sinai Hospital,Manhattan,11048,89,197
2020-03-15,NYU Langone Health,Manhattan,11341,58,166
2020-03-15,NewYork-Presbyterian,Manhattan,15285,32,99
2020-03-15,Jamaica Hospital,Queens,19181,58,202
2020-03-15,Queens Hospital Center,Queens,15121,79,182
2020-03-15,Elmhurst Hospital,Queens,11586,43,152
2020-03-15,Richmond University Medical Center,Staten Island,18015,37,158
2020-03-15,Staten Island University Hospital,Staten Island,11292,53,115
2020-03-16,Bronx-Lebanon Hospital,Bronx,12317,90,191
2020-03-16,St. Barnabas Hospital,Bronx,19726,90,193
2020-03-16,Montefiore Medical Center,Bronx,14050,108,173
2020-03-16,Brooklyn Methodist Hospital,Brooklyn,18695,108,193
2020-03-16,Kings County Hospital,Brooklyn,12417,131,202
2020-03-16,Maimonides Medical Center,Brooklyn,12106,173,249
2020-03-16,Mount Sinai Hospital,Manhattan,16789,72,217
2020-03-16,NYU Langone Health,Manhattan,14592,55,108
2020-03-16,NewYork-Presbyterian,Manhattan,11738,128,189
2020-03-16,Jamaica Hospital,Queens,17148,109,194
2020-03-16,Queens Hospital Center,Queens,18112,127,219
2020-03-16,Elmhurst Hospital,Queens,12152,87,147
2020-03-16,Richmond University Medical Center,Staten Island,17416,30,150
2020-03-16,Staten Island University Hospital,Staten Island,18759,29,128
2020-03-17,Bronx-Lebanon Hospital,Bronx,17638,70,135
2020-03-17,St. Barnabas Hospital,Bronx,14776,95,161
2020-03-17,Montefiore Medical Center,Bronx,11156,40,154
2020-03-17,Brooklyn Methodist Hospital,Brooklyn,17107,78,181
2020-03-17,Kings County Hospital,Brooklyn,12127,142,207
2020-03-17,Maimonides Medical Center,Brooklyn,16094,216,278
2020-03-17,Mount Sinai Hospital,Manhattan,17373,153,211
2020-03-17,NYU Langone Health,Manhattan,11067,57,199
2020-03-17,NewYork-Presbyterian,Manhattan,13699,145,278
2020-03-17,Jamaica Hospital,Queens,16221,80,132
2020-03-17,Queens Hospital Center,Queens,11850,182,306
2020-03-17,Elmhurst Hospital,Queens,18213,174,315
2020-03-17,Richmond University Medical Center,Staten Island,18309,66,186
2020-03-17,Staten Island University Hospital,Staten Island,18372,29,175
2020-03-18,Bronx-Lebanon Hospital,Bronx,19100,122,271
2020-03-18,St. Barnabas Hospital,Bronx,19672,61,186
2020-03-18,Montefiore Medical Center,Bronx,13513,150,228
2020-03-18,Brooklyn Methodist Hospital,Brooklyn,11930,99,167
2020-03-18,Kings County Hospital,Brooklyn,12301,244,327
2020-03-18,Maimonides Medical Center,Brooklyn,12581,145,221
2020-03-18,Mount Sinai Hospital,Manhattan,14628,95,193
2020-03-18,NYU Langone Health,Manhattan,15160,66,131
2020-03-18,NewYork-Presbyterian,Manhattan,13536,66,132
2020-03-18,Jamaica Hospital,Queens,11748,103,215
2020-03-18,Queens Hospital Center,Queens,18372,77,156
2020-03-18,Elmhurst Hospital,Queens,19160,150,219
2020-03-18,Richmond University Medical Center,Staten Island,15676,54,120
2020-03-18,Staten Island University Hospital,Staten Island,19745,75,195
2020-03-19,Bronx-Lebanon Hospital,Bronx,18112,131,194
2020-03-19,St. Barnabas Hospital,Bronx,13112,102,243
2020-03-19,Montefiore Medical Center,Bronx,12889,139,235
2020-03-19,Brooklyn Methodist Hospital,Brooklyn,14097,273,397
2020-03-19,Kings County Hospital,Brooklyn,14700,301,432
2020-03-19,Maimonides Medical Center,Brooklyn,13203,112,190
2020-03-19,Mount Sinai Hospital,Manhattan,13276,101,212
2020-03-19,NYU Langone Health,Manhattan,15246,113,220
2020-03-19,NewYork-Presbyterian,Manhattan,12218,132,186
2020-03-19,Jamaica Hospital,Queens,16993,177,256
2020-03-19,Queens Hospital Center,Queens,12678,164,233
2020-03-19,Elmhurst Hospital,Queens,15922,208,310
2020-03-19,Richmond University Medical Center,Staten Island,11121,82,225
2020-03-19,Staten Island University Hospital,Staten Island,16320,45,116
2020-03-20,Bronx-Lebanon Hospital,Bronx,13790,179,284
2020-03-20,St. Barnabas Hospital,Bronx,14855,101,216
2020-03-20,Montefiore Medical Center,Bronx,15692,189,286
2020-03-20,Brooklyn Methodist Hospital,Brooklyn,12016,207,276
2020-03-20,Kings County Hospital,Brooklyn,17069,287,363
2020-03-20,Maimonides Medical Center,Brooklyn,18981,106,193
2020-03-20,Mount Sinai Hospital,Manhattan,19158,110,250
2020-03-20,NYU Langone Health,Manhattan,18792,93,153
2020-03-20,NewYork-Presbyterian,Manhattan,17378,166,254
2020-03-20,Jamaica Hospital,Queens,12205,110,228
2020-03-20,Queens Hospital Center,Queens,16374,186,249
2020-03-20,Elmhurst Hospital,Queens,13929,221,333
2020-03-20,Richmond University Medical Center,Staten Island,13792,58,125
2020-03-20,Staten Island University Hospital,Staten Island,11302,56,140
2020-03-21,Bronx-Lebanon Hospital,Bronx,13049,58,190
2020-03-21,St. Barnabas Hospital,Bronx,14146,152,226
2020-03-21,Montefiore Medical Center,Bronx,13297,110,191
2020-03-21,Brooklyn Methodist Hospital,Brooklyn,11138,165,286
2020-03-21,Kings County Hospital,Brooklyn,18986,158,245
2020-03-21,Maimonides Medical Center,Brooklyn,18088,165,304
2020-03-21,Mount Sinai Hospital,Manhattan,15203,71,187
2020-03-21,NYU Langone Health,Manhattan,16016,107,253
2020-03-21,NewYork-Presbyterian,Manhattan,12555,65,176
2020-03-21,Jamaica Hospital,Queens,19765,200,251
2020-03-21,Queens Hospital Center,Queens,18874,206,328
2020-03-21,Elmhurst Hospital,Queens,16519,114,169
2020-03-21,Richmond University Medical Center,Staten Island,16031,33,89
2020-03-21,Staten Island University Hospital,Staten Island,14381,96,164
2020-03-22,Bronx-Lebanon Hospital,Bronx,14312,142,276
2020-03-22,St. Barnabas Hospital,Bronx,17640,128,180
2020-03-22,Montefiore Medical Center,Bronx,17942,145,255
2020-03-22,Brooklyn Methodist Hospital,Brooklyn,17392,186,293
2020-03-22,Kings County Hospital,Brooklyn,14075,133,199
2020-03-22,Maimonides Medical Center,Brooklyn,18978,100,169
2020-03-22,Mount Sinai Hospital,Manhattan,15919,46,100
2020-03-22,NYU Langone Health,Manhattan,18203,111,188
2020-03-22,NewYork-Presbyterian,Manhattan,16438,38,179
2020-03-22,Jamaica Hospital,Queens,19504,138,275
2020-03-22,Queens Hospital Center,Queens,14555,67,186
2020-03-22,Elmhurst Hospital,Queens,14449,103,208
2020-03-22,Richmond University Medical Center,Staten Island,12261,98,174
2020-03-22,Staten Island University Hospital,Staten Island,14613,51,127
2020-03-23,Bronx-Lebanon Hospital,Bronx,14521,74,202
2020-03-23,St. Barnabas Hospital,Bronx,13616,195,269
2020-03-23,Montefiore Medical Center,Bronx,14104,195,249
2020-03-23,Brooklyn Methodist Hospital,Brooklyn,11043,216,329
2020-03-23,Kings County Hospital,Brooklyn,19401,149,276
2020-03-23,Maimonides Medical Center,Brooklyn,17771,199,272
2020-03-23,Mount Sinai Hospital,Manhattan,16330,127,276
2020-03-23,NYU Langone Health,Manhattan,14043,94,166
2020-03-23,NewYork-Presbyterian,Manhattan,16070,124,242
2020-03-23,Jamaica Hospital,Queens,17141,153,216
2020-03-23,Queens Hospital Center,Queens,18792,222,329
2020-03-23,Elmhurst Hospital,Queens,18999,278,399
2020-03-23,Richmond University Medical Center,Staten Island,18404,89,175
2020-03-23,Staten Island University Hospital,Staten Island,17163,30,156
2020-03-24,Bronx-Lebanon Hospital,Bronx,18874,152,273
2020-03-24,St. Barnabas Hospital,Bronx,13628,180,234
2020-03-24,Montefiore Medical Center,Bronx,18452,146,280
2020-03-24,Brooklyn Methodist Hospital,Brooklyn,15439,275,358
2020-03-24,Kings County Hospital,Brooklyn,16872,225,351
2020-03-24,Maimonides Medical Center,Brooklyn,16288,303,417
2020-03-24,Mount Sinai Hospital,Manhattan,17164,61,119
2020-03-24,NYU Langone Health,Manhattan,14379,163,294
2020-03-24,NewYork-Presbyterian,Manhattan,15318,81,208
2020-03-24,Jamaica Hospital,Queens,17571,325,435
2020-03-24,Queens Hospital Center,Queens,13540,238,320
2020-03-24,Elmhurst Hospital,Queens,18891,119,237
2020-03-24,Richmond University Medical Center,Staten Island,18881,79,157
2020-03-24,Staten Island University Hospital,Staten Island,18122,82,159
2020-03-25,Bronx-Lebanon Hospital,Bronx,19126,228,285
2020-03-25,St. Barnabas Hospital,Bronx,15552,126,275
2020-03-25,Montefiore Medical Center,Bronx,16416,120,183
2020-03-25,Brooklyn Methodist Hospital,Brooklyn,19099,225,365
2020-03-25,Kings County Hospital,Brooklyn,14726,196,304
2020-03-25,Maimonides Medical Center,Brooklyn,18193,152,215
2020-03-25,Mount Sinai Hospital,Manhattan,12826,70,180
2020-03-25,NYU Langone Health,Manhattan,11792,168,301
2020-03-25,NewYork-Presbyterian,Manhattan,18243,165,258
2020-03-25,Jamaica Hospital,Queens,14384,300,376
2020-03-25,Queens Hospital Center,Queens,17023,194,246
2020-03-25,Elmhurst Hospital,Queens,13287,265,385
2020-03-25,Richmond University Medical Center,Staten Island,19917,74,204
2020-03-25,Staten Island University Hospital,Staten Island,16781,83,162
2020-03-26,Bronx-Lebanon Hospital,Bronx,11929,107,195
2020-03-26,St. Barnabas Hospital,Bronx,13700,95,226
2020-03-26,Montefiore Medical Center,Bronx,15697,227,328
2020-03-26,Brooklyn Methodist Hospital,Brooklyn,19055,227,284
2020-03-26,Kings County Hospital,Brooklyn,13089,282,418
2020-03-26,Maimonides Medical Center,Brooklyn,19145,235,307
2020-03-26,Mount Sinai Hospital,Manhattan,16335,165,228
2020-03-26,NYU Langone Health,Manhattan,11050,156,266
2020-03-26,NewYork-Presbyterian,Manhattan,14489,90,197
2020-03-26,Jamaica Hospital,Queens,16912,184,254
2020-03-26,Queens Hospital Center,Queens,19060,230,285
2020-03-26,Elmhurst Hospital,Queens,13474,239,336
2020-03-26,Richmond University Medical Center,Staten Island,11510,54,187
2020-03-26,Staten Island University Hospital,Staten Island,16439,87,233
2020-03-27,Bronx-Lebanon Hospital,Bronx,17494,103,156
2020-03-27,St. Barnabas Hospital,Bronx,15779,225,283
2020-03-27,Montefiore Medical Center,Bronx,12943,232,328
2020-03-27,Brooklyn Methodist Hospital,Brooklyn,14699,170,281
2020-03-27,Kings County Hospital,Brooklyn,14774,260,389
2020-03-27,Maimonides Medical Center,Brooklyn,16241,251,330
2020-03-27,Mount Sinai Hospital,Manhattan,17520,184,309
2020-03-27,NYU Langone Health,Manhattan,13020,81,180
2020-03-27,NewYork-Presbyterian,Manhattan,14196,115,236
2020-03-27,Jamaica Hospital,Queens,13014,319,444
2020-03-27,Queens Hospital Center,Queens,12959,159,215
2020-03-27,Elmhurst Hospital,Queens,17497,150,284
2020-03-27,Richmond University Medical Center,Staten Island,16395,105,248
2020-03-27,Staten Island University Hospital,Staten Island,19776,125,216
2020-03-28,Bronx-Lebanon Hospital,Bronx,19125,187,314
2020-03-28,St. Barnabas Hospital,Bronx,18352,86,189
2020-03-28,Montefiore Medical Center,Bronx,13455,148,285
2020-03-28,Brooklyn Methodist Hospital,Brooklyn,19280,116,193
2020-03-28,Kings County Hospital,Brooklyn,11929,132,209
2020-03-28,Maimonides Medical Center,Brooklyn,18377,217,339
2020-03-28,Mount Sinai Hospital,Manhattan,16141,114,186
2020-03-28,NYU Langone Health,Manhattan,18590,97,150
2020-03-28,NewYork-Presbyterian,Manhattan,18519,44,94
2020-03-28,Jamaica Hospital,Queens,16598,287,421
2020-03-28,Queens Hospital Center,Queens,14408,105,212
2020-03-28,Elmhurst Hospital,Queens,17486,217,323
2020-03-28,Richmond University Medical Center,Staten Island,17794,48,163
2020-03-28,Staten Island University Hospital,Staten Island,18248,53,158
2020-03-29,Bronx-Lebanon Hospital,Bronx,17030,179,302
2020-03-29,St. Barnabas Hospital,Bronx,15191,175,244
2020-03-29,Montefiore Medical Center,Bronx,18038,148,219
2020-03-29,Brooklyn Methodist Hospital,Brooklyn,16623,155,270
2020-03-29,Kings County Hospital,Brooklyn,18374,276,348
2020-03-29,Maimonides Medical Center,Brooklyn,12829,256,399
2020-03-29,Mount Sinai Hospital,Manhattan,17722,103,216
2020-03-29,NYU Langone Health,Manhattan,18575,91,200
2020-03-29,NewYork-Presbyterian,Manhattan,17631,124,231
2020-03-29,Jamaica Hospital,Queens,14200,267,329
2020-03-29,Queens Hospital Center,Queens,18992,165,222
2020-03-29,Elmhurst Hospital,Queens,15793,127,237
2020-03-29,Richmond University Medical Center,Staten Island,17610,45,160
2020-03-29,Staten Island University Hospital,Staten Island,15296,62,152
2020-03-30,Bronx-Lebanon Hospital,Bronx,15758,121,258
2020-03-30,St. Barnabas Hospital,Bronx,15244,257,348
2020-03-30,Montefiore Medical Center,Bronx,11030,189,275
2020-03-30,Brooklyn Methodist Hospital,Brooklyn,13982,381,496
2020-03-30,Kings County Hospital,Brooklyn,13734,390,453
2020-03-30,Maimonides Medical Center,Brooklyn,14232,332,382
2020-03-30,Mount Sinai Hospital,Manhattan,17809,160,269
2020-03-30,NYU Langone Health,Manhattan,16710,95,212
2020-03-30,NewYork-Presbyterian,Manhattan,18594,185,293
2020-03-30,Jamaica Hospital,Queens,18194,257,401
2020-03-30,Queens Hospital Center,Queens,11651,247,361
2020-03-30,Elmhurst Hospital,Queens,19911,401,489
2020-03-30,Richmond University Medical Center,Staten Island,13064,83,224
2020-03-30,Staten Island University Hospital,Staten Island,15681,59,201
2020-03-31,Bronx-Lebanon Hospital,Bronx,15566,274,389
2020-03-31,St. Barnabas Hospital,Bronx,12768,200,302
2020-03-31,Montefiore Medical Center,Bronx,13038,318,370
2020-03-31,Brooklyn Methodist Hospital,Brooklyn,18788,248,343
2020-03-31,Kings County Hospital,Brooklyn,16144,239,350
2020-03-31,Maimonides Medical Center,Brooklyn,19888,154,226
2020-03-31,Mount Sinai Hospital,Manhattan,11825,155,217
2020-03-31,NYU Langone Health,Manhattan,18604,163,286
2020-03-31,NewYork-Presbyterian,Manhattan,17662,77,188
2020-03-31,Jamaica Hospital,Queens,18106,392,460
2020-03-31,Queens Hospital Center,Queens,19288,271,326
2020-03-31,Elmhurst Hospital,Queens,15403,201,306
2020-03-31,Richmond University Medical Center,Staten Island,11674,76,173
2020-03-31,Staten Island University Hospital,Staten Island,11349,85,165
2020-04-01,Bronx-Lebanon Hospital,Bronx,13148,201,308
2020-04-01,St. Barnabas Hospital,Bronx,13063,151,257
